Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Source IP
150,2,2,92,124,46,46,46.0,0.0,62,62,62.0,0.0,1440000.0,26666.66667,50.0,82.27393269,145,2,3,3.0,0.0,3,3,2,2.0,0.0,2,2,0,0,0,0,40,40,13333.33333,13333.33333,46,62,52.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,65.5,46.0,62.0,0,0,0,0,0,0,2,92,2,124,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.243
5298367,29,43,898,77264,514,0,30.96551724,105.545685,4344,0,1796.837209,1074.57451,14752.09248,13.58909264,74624.88732,617463.026,5204078,2,94286,3367.357143,6658.789058,20900,52,5282717,125778.9762,802731.1388,5204121,2,0,0,0,0,936,1384,5.473384535,8.115708104,0,4344,1070.712329,1201.731234,1444157.958,0,0,0,1,0,0,0,0,1,1085.583333,30.96551724,1796.837209,0,0,0,0,0,0,29,898,43,77264,29200,252,3,32,94286.0,0.0,94286,94286,5204078.0,0.0,5204078,5204078,BENIGN,10.0.0.13
555109,243,399,627,834289,389,0,2.580246914,26.82058427,4344,0,2090.949875,859.279453,1504057.762,1156.529619,866.0046802,4198.809338,33394,0,555109,2293.838843,6851.853522,37948,3,521147,1309.414573,5147.41439,33703,1,0,0,0,0,7788,12776,437.7518649,718.7777536,0,4344,1298.469673,1219.255443,1486583.835,0,0,0,1,0,0,0,0,1,1300.492212,2.580246914,2090.949875,0,0,0,0,0,0,243,627,399,834289,65535,972,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.41
61,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,196721.31147541,32786.8852459016,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16393.4426229508,16393.4426229508,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,377,254,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.85
85183094,7,6,11595,330,4344,0,1656.428571,1760.597234,312,0,55.0,125.93808,139.9925671,0.152612442,7098591.167,24500000.0,85000000,2,85200000,14200000.0,34700000.0,85000000,47,85100000,17000000.0,38000000.0,85000000,5,0,0,0,0,232,164,0.08217593,0.070436512,0,4344,851.7857143,1460.885199,2134185.566,0,0,0,0,1,0,0,0,0,917.3076923,1656.428571,55.0,0,0,0,0,0,0,7,11595,6,330,235,229,4,32,9999.0,0.0,9999,9999,85000000.0,0.0,85000000,85000000,BENIGN,10.0.0.119
53,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18867.92453,18867.92453,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,340,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.234
254731,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,628.1135786379,15.7028394659,84910.3333333333,147024.845846997,254680,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,80,40,7.851419733,7.851419733,32,48,38.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,0,0,0,0,0,0,2,64,2,96,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.189
235,2,2,66,166,33,33,33.0,0.0,83,83,83.0,0.0,987234.042553192,17021.2765957447,78.3333333333,129.616099823,228,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,8510.6382978724,8510.6382978724,33,83,53.0,27.3861278753,750.0,0,0,0,0,0,0,0,0,1,66.25,33.0,83.0,0,0,0,0,0,0,2,66,2,166,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.186
3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,65535,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.250
74371,2,2,86,248,43,43,43.0,0.0,124,124,124.0,0.0,4490.997835,53.78440521,24790.33333,42931.18867,74363,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,26.89220261,26.89220261,43,124,75.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,94.25,43.0,124.0,0,0,0,0,0,0,2,86,2,248,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.118
